202677260,AP,0.23,0.000000,0.00,2081 (AF Star)
202678096,QP,0.62,1.405426,0.05,
202678104,AP,1.75,0.000000,0.00,
202678486, P,4.57,7.353507,1.61,
202678759,AP,0.74,0.000000,0.00,
202679236,AP,1.82,0.000000,0.00,
202679718,EB,20.27,0.454510,28.88,
202679988,QP,16.64,2.949791,6.51,
202680204,QP,0.98,15.211661,0.15,
202680772,AP,1.55,0.000000,0.00,
202682153,AP,2.35,0.000000,0.00,
202682348,AP,2.70,0.000000,0.00,
202683805,QP,1.25,8.478632,0.38,
202684315,QP,1.02,1.986671,0.10,
202685083,EB,91.51,3.323590,70.78,2049 (Eclipsing Binary);2067 (Eclipsing Binary);2081 (AF Star)
202685478,QP,1.36,12.121801,0.30,
202685642,QP,2.50,17.050436,0.94,
202685651,AP,0.30,0.000000,0.00,2081 (AF Star)
202685801,EB,107.87,3.325942,80.87,2049 (Eclipsing Binary)
202685843,AP,1.54,0.000000,0.00,2081 (AF Star)
202685860,AP,0.81,0.000000,0.00,
202686279,AP,2.15,0.000000,0.00,
202686881,AP,0.90,0.000000,0.00,
202686971,QP,0.29,3.160060,0.04,
202687222,AP,1.17,0.000000,0.00,
202688980,EB,1.05,1.455689,3.02,2075 (Beta Cephei)
202689201,QP,0.37,1.626405,0.05,
202689550,QP,4.02,1.054785,0.53,
202689705,AP,4.02,0.000000,0.00,
202689729,QP,0.76,1.542336,0.06,
202689749,AP,3.33,0.000000,0.00,
202690123,AP,0.16,0.000000,0.00,
202690141,AP,0.55,0.000000,0.00,
202691501,AP,6.38,0.000000,0.00,
202691757, P,0.33,0.149652,0.05,
202693036,AP,2.66,0.000000,0.00,
202693066,AP,11.70,0.000000,0.00,
202694080,AP,1.51,0.000000,0.00,
202694345,AP,2.33,0.000000,0.00,
202696128,QP,1.37,1.969024,0.33,
202697500,AP,3.71,0.000000,0.00,
202698140,AP,1.13,0.000000,0.00,
202698201,AP,1.00,0.000000,0.00,
202699293,QP,28.91,6.805215,12.49,
202700240,QP,0.80,1.806274,0.10,
202702558,QP,1.18,15.063975,0.30,
202703597,AP,0.53,0.000000,0.00,
202704279,QP,6.04,0.514282,2.29,
202704365,AP,7.09,0.000000,0.00,
202705191,QP,1.01,1.550040,0.09,
202706271,AP,1.33,0.000000,0.00,
202706645,QP,2.28,5.704374,0.51,
202706664,AP,0.50,0.000000,0.00,
202707178,AP,0.31,0.000000,0.00,
202707309,AP,1.07,0.000000,0.00,
202707507,AP,0.31,0.000000,0.00,
202707559,QP,2.03,2.616509,0.31,
202708378,AP,3.19,0.000000,0.00,
202709200,QP,0.74,0.227173,0.09,
202709492,AP,41.07,0.000000,0.00,
202709590,QP,0.44,17.050434,0.13,
202709674,AP,0.47,0.000000,0.00,
202709846,QP,1.78,1.322753,0.45,2075 (Beta Cephei)
202709960,QP,1.49,14.366569,0.30,
202710125,AP,4.62,0.000000,0.00,
202710503, P,15.63,2.905597,3.60,
202710655,AP,5.63,0.000000,0.00,
202710713,AP,2.42,0.000000,0.00,
202711010,AP,1.55,0.000000,0.00,
202714731,QP,0.83,2.420578,0.22,
202714774,QP,3.16,4.673463,0.87,
202715668,AP,1.55,0.000000,0.00,
202715926,AP,3.15,0.000000,0.00,
202716206,QP,1.46,4.716078,0.17,
202716786,AP,3.15,0.000000,0.00,
